"","yearweek","FO_total_attacks","FO_attacks_located_IL","FO_attacks_located_yesha","FO_attacks_target_civilian","FO_attacks_target_security_forces","FO_total_killed","FO_killed_located_IL","FO_killed_located_yesha","FO_killed_target_civilian","FO_killed_target_security_forces"
"359","2001-W00",1,1,0,1,0,0,0,0,0,0
"360","2001-W01",0,0,0,0,0,0,0,0,0,0
"361","2001-W02",0,0,0,0,0,0,0,0,0,0
"362","2001-W03",0,0,0,0,0,0,0,0,0,0
"363","2001-W04",0,0,0,0,0,0,0,0,0,0
"364","2001-W05",1,1,0,1,0,0,0,0,0,0
"365","2001-W06",1,1,0,1,0,8,8,0,8,0
"366","2001-W07",0,0,0,0,0,0,0,0,0,0
"367","2001-W08",1,1,0,1,0,1,1,0,1,0
"368","2001-W09",1,1,0,1,0,3,3,0,3,0
"369","2001-W10",0,0,0,0,0,0,0,0,0,0
"370","2001-W11",0,0,0,0,0,0,0,0,0,0
"371","2001-W12",3,3,0,3,0,2,2,0,2,0
"372","2001-W13",0,0,0,0,0,0,0,0,0,0
"373","2001-W14",1,1,0,1,0,0,0,0,0,0
"374","2001-W15",0,0,0,0,0,0,0,0,0,0
"375","2001-W16",2,2,0,2,0,1,1,0,1,0
"376","2001-W17",1,0,1,0,0,0,0,0,0,0
"377","2001-W18",0,0,0,0,0,0,0,0,0,0
"378","2001-W19",1,1,0,1,0,5,5,0,5,0
"379","2001-W20",1,1,0,1,0,0,0,0,0,0
"380","2001-W21",3,3,0,3,0,21,21,0,21,0
"381","2001-W22",0,0,0,0,0,0,0,0,0,0
"382","2001-W23",0,0,0,0,0,0,0,0,0,0
"383","2001-W24",1,0,1,0,1,2,0,2,0,2
"384","2001-W25",0,0,0,0,0,0,0,0,0,0
"385","2001-W26",1,1,0,1,0,0,0,0,0,0
"386","2001-W27",0,0,0,0,0,0,0,0,0,0
"387","2001-W28",1,1,0,0,1,2,2,0,0,2
"388","2001-W29",0,0,0,0,0,0,0,0,0,0
"389","2001-W30",0,0,0,0,0,0,0,0,0,0
"390","2001-W31",2,1,1,1,1,15,15,0,15,0
"391","2001-W32",1,1,0,1,0,0,0,0,0,0
"392","2001-W33",1,1,0,1,0,0,0,0,0,0
"393","2001-W34",0,0,0,0,0,0,0,0,0,0
"394","2001-W35",0,0,0,0,0,0,0,0,0,0
"395","2001-W36",2,2,0,2,0,3,3,0,3,0
"396","2001-W37",0,0,0,0,0,0,0,0,0,0
"397","2001-W38",0,0,0,0,0,0,0,0,0,0
"398","2001-W39",1,1,0,1,0,0,0,0,0,0
"399","2001-W40",1,1,0,1,0,1,1,0,1,0
"400","2001-W41",0,0,0,0,0,0,0,0,0,0
"401","2001-W42",0,0,0,0,0,0,0,0,0,0
"402","2001-W43",0,0,0,0,0,0,0,0,0,0
"403","2001-W44",0,0,0,0,0,0,0,0,0,0
"404","2001-W45",0,0,0,0,0,0,0,0,0,0
"405","2001-W46",0,0,0,0,0,0,0,0,0,0
"406","2001-W47",3,2,1,2,1,14,14,0,14,0
"407","2001-W48",2,2,0,2,0,16,16,0,16,0
"408","2001-W49",2,1,1,2,0,0,0,0,0,0
"409","2001-W50",0,0,0,0,0,0,0,0,0,0
"410","2001-W51",0,0,0,0,0,0,0,0,0,0
"411","2001-W52",0,0,0,0,0,0,0,0,0,0
"412","2002-W00",0,0,0,0,0,0,0,0,0,0
"413","2002-W01",0,0,0,0,0,0,0,0,0,0
"414","2002-W02",0,0,0,0,0,0,0,0,0,0
"415","2002-W03",1,1,0,1,0,0,0,0,0,0
"416","2002-W04",1,1,0,1,0,1,1,0,1,0
"417","2002-W05",0,0,0,0,0,0,0,0,0,0
"418","2002-W06",1,0,1,1,0,3,0,3,3,0
"419","2002-W07",1,0,1,1,0,1,0,1,1,0
"420","2002-W08",2,2,0,1,1,11,11,0,11,0
"421","2002-W09",3,2,1,3,0,12,12,0,12,0
"422","2002-W10",0,0,0,0,0,0,0,0,0,0
"423","2002-W11",3,3,0,2,0,10,10,0,3,0
"424","2002-W12",3,3,0,3,0,33,33,0,33,0
"425","2002-W13",3,2,1,2,1,16,16,0,15,1
"426","2002-W14",2,2,0,2,0,14,14,0,14,0
"427","2002-W15",0,0,0,0,0,0,0,0,0,0
"428","2002-W16",0,0,0,0,0,0,0,0,0,0
"429","2002-W17",0,0,0,0,0,0,0,0,0,0
"430","2002-W18",1,1,0,1,0,16,16,0,16,0
"431","2002-W19",0,0,0,0,0,0,0,0,0,0
"432","2002-W20",3,3,0,3,0,5,5,0,5,0
"433","2002-W21",1,1,0,1,0,2,2,0,2,0
"434","2002-W22",1,1,0,1,0,17,17,0,17,0
"435","2002-W23",1,1,0,1,0,1,1,0,1,0
"436","2002-W24",2,2,0,2,0,26,26,0,26,0
"437","2002-W25",0,0,0,0,0,0,0,0,0,0
"438","2002-W26",0,0,0,0,0,0,0,0,0,0
"439","2002-W27",0,0,0,0,0,0,0,0,0,0
"440","2002-W28",2,1,1,2,0,14,5,9,14,0
"441","2002-W29",0,0,0,0,0,0,0,0,0,0
"442","2002-W30",2,2,0,2,0,9,9,0,9,0
"443","2002-W31",2,2,0,2,0,9,9,0,9,0
"444","2002-W32",0,0,0,0,0,0,0,0,0,0
"445","2002-W33",0,0,0,0,0,0,0,0,0,0
"446","2002-W34",0,0,0,0,0,0,0,0,0,0
"447","2002-W35",0,0,0,0,0,0,0,0,0,0
"448","2002-W36",0,0,0,0,0,0,0,0,0,0
"449","2002-W37",2,2,0,1,0,7,7,0,6,0
"450","2002-W38",0,0,0,0,0,0,0,0,0,0
"451","2002-W39",0,0,0,0,0,0,0,0,0,0
"452","2002-W40",1,1,0,1,0,1,1,0,1,0
"453","2002-W41",0,0,0,0,0,0,0,0,0,0
"454","2002-W42",1,1,0,1,0,14,14,0,14,0
"455","2002-W43",1,0,1,0,1,3,0,3,0,3
"456","2002-W44",1,1,0,1,0,2,2,0,2,0
"457","2002-W45",0,0,0,0,0,0,0,0,0,0
"458","2002-W46",1,1,0,1,0,7,7,0,7,0
"459","2002-W47",0,0,0,0,0,0,0,0,0,0
"460","2002-W48",0,0,0,0,0,0,0,0,0,0
"461","2002-W49",0,0,0,0,0,0,0,0,0,0
