yearweek,total_killed,q3,survey_date,intifada,week0ago,week1ago,week2ago,week3ago,week4ago,week5ago,week6ago,week7ago,week8ago
2008-W08,1,2.2894211576846306,2008-02-29,0,1,0,0,1,0,0,0,0,0
2008-W09,8,NA,NA,0,8,1,0,0,1,0,0,0,0
2008-W10,NA,NA,NA,0,0,8,1,0,0,1,0,0,0
2008-W11,NA,NA,NA,0,0,0,8,1,0,0,1,0,0
2008-W12,NA,NA,NA,0,0,0,0,8,1,0,0,1,0
2008-W13,NA,2.1068548387096775,2008-03-31,0,0,0,0,0,8,1,0,0,1
2008-W14,2,NA,NA,0,2,0,0,0,0,8,1,0,0
2008-W15,3,NA,NA,0,3,2,0,0,0,0,8,1,0
2008-W16,NA,NA,NA,0,0,3,2,0,0,0,0,8,1
2008-W17,NA,2.116981132075472,2008-04-30,0,0,0,3,2,0,0,0,0,8
2008-W18,1,NA,NA,0,1,0,0,3,2,0,0,0,0
2008-W19,1,NA,NA,0,1,1,0,0,3,2,0,0,0
2008-W20,NA,NA,NA,0,0,1,1,0,0,3,2,0,0
2008-W21,NA,2.063116370808679,2008-05-31,0,0,0,1,1,0,0,3,2,0
2008-W22,1,NA,NA,0,1,0,0,1,1,0,0,3,2
2008-W23,NA,NA,NA,0,0,1,0,0,1,1,0,0,3
2008-W24,NA,NA,NA,0,0,0,1,0,0,1,1,0,0
2008-W25,NA,NA,NA,0,0,0,0,1,0,0,1,1,0
2008-W26,2,2.1868787276341948,2008-06-30,0,2,0,0,0,1,0,0,1,1
2008-W27,NA,NA,NA,0,0,2,0,0,0,1,0,0,1
2008-W28,NA,NA,NA,0,0,0,2,0,0,0,1,0,0
2008-W29,NA,NA,NA,0,0,0,0,2,0,0,0,1,0
