yearweek,total_killed,q3,survey_date,intifada,week0ago,week1ago,week2ago,week3ago,week4ago,week5ago,week6ago,week7ago,week8ago
2005-W40,NA,NA,NA,0,0,0,1,0,0,0,0,0,0
2005-W41,NA,NA,NA,0,0,0,0,1,0,0,0,0,0
2005-W42,3,NA,NA,0,3,0,0,0,1,0,0,0,0
2005-W43,7,NA,NA,0,7,3,0,0,0,1,0,0,0
2005-W44,1,1.947572816,31/10/2005,0,1,7,3,0,0,0,1,0,0
2005-W45,NA,NA,NA,0,0,1,7,3,0,0,0,1,0
2005-W46,NA,NA,NA,0,0,0,1,7,3,0,0,0,1
2005-W47,NA,NA,NA,0,0,0,0,1,7,3,0,0,0
2005-W48,NA,NA,NA,0,0,0,0,0,1,7,3,0,0
2005-W49,6,NA,NA,0,6,0,0,0,0,1,7,3,0
2005-W50,1,NA,NA,0,1,6,0,0,0,0,1,7,3
2005-W51,NA,NA,NA,0,0,1,6,0,0,0,0,1,7
2005-W52,1,1.938735178,28/12/2005,0,1,0,1,6,0,0,0,0,1
2006-W01,NA,NA,NA,0,0,1,0,1,6,0,0,0,0
2006-W02,NA,NA,NA,0,0,0,1,0,1,6,0,0,0
2006-W03,NA,NA,NA,0,0,0,0,1,0,1,6,0,0
2006-W04,NA,NA,NA,0,0,0,0,0,1,0,1,6,0
2006-W05,NA,NA,31/01/2006,0,0,0,0,0,0,1,0,1,6
2006-W06,1,NA,NA,0,1,0,0,0,0,0,1,0,1
2006-W07,NA,NA,NA,0,0,1,0,0,0,0,0,1,0
2006-W08,NA,NA,NA,0,0,0,1,0,0,0,0,0,1
2006-W09,1,2.149700599,28/02/2006,0,1,0,0,1,0,0,0,0,0
2006-W10,NA,NA,NA,0,0,1,0,0,1,0,0,0,0
2006-W11,NA,NA,NA,0,0,0,1,0,0,1,0,0,0
2006-W12,NA,NA,NA,0,0,0,0,1,0,0,1,0,0
2006-W13,4,2.003937008,31/03/2006,0,4,0,0,0,1,0,0,1,0
2006-W14,NA,NA,NA,0,0,4,0,0,0,1,0,0,1
2006-W15,NA,NA,NA,0,0,0,4,0,0,0,1,0,0
2006-W16,7,NA,NA,0,7,0,0,4,0,0,0,1,0
2006-W17,NA,NA,NA,0,0,7,0,0,4,0,0,0,1
2006-W18,NA,2.091633466,30/04/2006,0,0,0,7,0,0,4,0,0,0
2006-W19,NA,NA,NA,0,0,0,0,7,0,0,4,0,0
2006-W20,NA,NA,NA,0,0,0,0,0,7,0,0,4,0
2006-W21,NA,NA,NA,0,0,0,0,0,0,7,0,0,4
2006-W22,NA,2.139489194,31/05/2006,0,0,0,0,0,0,0,7,0,0
2006-W23,NA,NA,NA,0,0,0,0,0,0,0,0,7,0
2006-W24,NA,NA,NA,0,0,0,0,0,0,0,0,0,7
2006-W25,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W26,3,2.263779528,30/06/2006,0,3,0,0,0,0,0,0,0,0
2006-W27,NA,NA,NA,0,0,3,0,0,0,0,0,0,0
2006-W28,NA,NA,NA,0,0,0,3,0,0,0,0,0,0
2006-W29,1,NA,NA,0,1,0,0,3,0,0,0,0,0
2006-W30,1,NA,NA,0,1,1,0,0,3,0,0,0,0
2006-W31,NA,2.334622824,31/07/2006,0,0,1,1,0,0,3,0,0,0
2006-W32,NA,NA,NA,0,0,0,1,1,0,0,3,0,0
2006-W33,1,NA,NA,0,1,0,0,1,1,0,0,3,0
2006-W34,NA,NA,NA,0,0,1,0,0,1,1,0,0,3
2006-W35,NA,2.242063492,31/08/2006,0,0,0,1,0,0,1,1,0,0
2006-W36,NA,NA,NA,0,0,0,0,1,0,0,1,1,0
2006-W37,1,NA,NA,0,1,0,0,0,1,0,0,1,1
2006-W38,NA,NA,NA,0,0,1,0,0,0,1,0,0,1
2006-W39,NA,2.264761905,26/09/2006,0,0,0,1,0,0,0,1,0,0
2006-W40,NA,NA,NA,0,0,0,0,1,0,0,0,1,0
2006-W41,NA,NA,NA,0,0,0,0,0,1,0,0,0,1
2006-W42,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
2006-W43,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
2006-W44,1,NA,31/10/2006,0,1,0,0,0,0,0,0,1,0
2006-W45,NA,NA,NA,0,0,1,0,0,0,0,0,0,1
2006-W46,1,NA,NA,0,1,0,1,0,0,0,0,0,0
2006-W47,1,NA,NA,0,1,1,0,1,0,0,0,0,0
2006-W48,NA,1.972386588,30/11/2006,0,0,1,1,0,1,0,0,0,0
2006-W49,NA,NA,NA,0,0,0,1,1,0,1,0,0,0
2006-W50,NA,NA,NA,0,0,0,0,1,1,0,1,0,0
2006-W51,NA,NA,NA,0,0,0,0,0,1,1,0,1,0
2006-W52,NA,2.00204918,30/12/2006,0,0,0,0,0,0,1,1,0,1
2006-W53,NA,NA,NA,0,0,0,0,0,0,0,1,1,0
2007-W00,NA,NA,NA,0,0,0,0,0,0,0,0,1,1
2007-W01,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
2007-W02,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W03,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W04,3,2.099415205,31/01/2007,0,3,0,0,0,0,0,0,0,0
2007-W05,NA,NA,NA,0,0,3,0,0,0,0,0,0,0
2007-W06,NA,NA,NA,0,0,0,3,0,0,0,0,0,0
2007-W07,NA,NA,NA,0,0,0,0,3,0,0,0,0,0
2007-W08,1,2.150793651,28/02/2007,0,1,0,0,0,3,0,0,0,0
2007-W09,NA,NA,NA,0,0,1,0,0,0,3,0,0,0
2007-W10,NA,NA,NA,0,0,0,1,0,0,0,3,0,0
2007-W11,NA,NA,NA,0,0,0,0,1,0,0,0,3,0
2007-W12,NA,1.988235294,28/03/2007,0,0,0,0,0,1,0,0,0,3
2007-W13,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
2007-W14,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
2007-W15,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
2007-W16,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
2007-W17,NA,2.124074074,30/04/2007,0,0,0,0,0,0,0,0,0,0
2007-W18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W19,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W20,1,NA,NA,0,1,0,0,0,0,0,0,0,0
2007-W21,1,2.2421875,31/05/2007,0,1,1,0,0,0,0,0,0,0
2007-W22,NA,NA,NA,0,0,1,1,0,0,0,0,0,0
2007-W23,NA,NA,NA,0,0,0,1,1,0,0,0,0,0
2007-W24,NA,NA,NA,0,0,0,0,1,1,0,0,0,0
2007-W25,NA,2.100790514,30/06/2007,0,0,0,0,0,1,1,0,0,0
2007-W26,NA,NA,NA,0,0,0,0,0,0,1,1,0,0
2007-W27,1,NA,NA,0,1,0,0,0,0,0,1,1,0
2007-W28,NA,NA,NA,0,0,1,0,0,0,0,0,1,1
2007-W29,NA,NA,NA,0,0,0,1,0,0,0,0,0,1
2007-W30,NA,2.157170923,31/07/2007,0,0,0,0,1,0,0,0,0,0
2007-W31,NA,NA,NA,0,0,0,0,0,1,0,0,0,0
2007-W32,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
2007-W33,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
2007-W34,NA,2.216269841,31/08/2007,0,0,0,0,0,0,0,0,1,0
2007-W35,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
2007-W36,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W37,1,NA,NA,0,1,0,0,0,0,0,0,0,0
2007-W38,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
2007-W39,NA,2.026422764,30/09/2007,0,0,0,1,0,0,0,0,0,0
2007-W40,NA,NA,NA,0,0,0,0,1,0,0,0,0,0
2007-W41,1,NA,NA,0,1,0,0,0,1,0,0,0,0
2007-W42,NA,NA,NA,0,0,1,0,0,0,1,0,0,0
2007-W43,1,2.091816367,31/10/2007,0,1,0,1,0,0,0,1,0,0
2007-W44,NA,NA,NA,0,0,1,0,1,0,0,0,1,0
2007-W45,NA,NA,NA,0,0,0,1,0,1,0,0,0,1
2007-W46,1,NA,NA,0,1,0,0,1,0,1,0,0,0
2007-W47,NA,2.04,30/11/2007,0,0,1,0,0,1,0,1,0,0
2007-W48,NA,NA,NA,0,0,0,1,0,0,1,0,1,0
2007-W49,NA,NA,NA,0,0,0,0,1,0,0,1,0,1
2007-W50,NA,NA,NA,0,0,0,0,0,1,0,0,1,0
2007-W51,2,NA,NA,0,2,0,0,0,0,1,0,0,1
2007-W52,NA,2.015873016,31/12/2007,0,0,2,0,0,0,0,1,0,0
2008-W00,NA,NA,NA,0,0,0,2,0,0,0,0,1,0
2008-W01,NA,NA,NA,0,0,0,0,2,0,0,0,0,1
2008-W02,NA,NA,NA,0,0,0,0,0,2,0,0,0,0
2008-W03,1,NA,NA,0,1,0,0,0,0,2,0,0,0
2008-W04,NA,2.299009901,31/01/2008,0,0,1,0,0,0,0,2,0,0
2008-W05,1,NA,NA,0,1,0,1,0,0,0,0,2,0
2008-W06,NA,NA,NA,0,0,1,0,1,0,0,0,0,2
2008-W07,NA,NA,NA,0,0,0,1,0,1,0,0,0,0
2008-W08,3,2.289421158,29/02/2008,0,3,0,0,1,0,1,0,0,0
2008-W09,10,NA,NA,0,10,3,0,0,1,0,1,0,0
2008-W10,NA,NA,NA,0,0,10,3,0,0,1,0,1,0
2008-W11,NA,NA,NA,0,0,0,10,3,0,0,1,0,1
2008-W12,NA,NA,NA,0,0,0,0,10,3,0,0,1,0
2008-W13,NA,2.106854839,31/03/2008,0,0,0,0,0,10,3,0,0,1
2008-W14,3,NA,NA,0,3,0,0,0,0,10,3,0,0
2008-W15,3,NA,NA,0,3,3,0,0,0,0,10,3,0
2008-W16,2,NA,NA,0,2,3,3,0,0,0,0,10,3
2008-W17,NA,2.116981132,30/04/2008,0,0,2,3,3,0,0,0,0,10
2008-W18,1,NA,NA,0,1,0,2,3,3,0,0,0,0
2008-W19,1,NA,NA,0,1,1,0,2,3,3,0,0,0
2008-W20,NA,NA,NA,0,0,1,1,0,2,3,3,0,0
2008-W21,NA,2.063116371,31/05/2008,0,0,0,1,1,0,2,3,3,0
2008-W22,1,NA,NA,0,1,0,0,1,1,0,2,3,3
2008-W23,NA,NA,NA,0,0,1,0,0,1,1,0,2,3
2008-W24,NA,NA,NA,0,0,0,1,0,0,1,1,0,2
2008-W25,NA,NA,NA,0,0,0,0,1,0,0,1,1,0
2008-W26,2,2.186878728,30/06/2008,0,2,0,0,0,1,0,0,1,1
2008-W27,1,NA,NA,0,1,2,0,0,0,1,0,0,1
2008-W28,NA,NA,NA,0,0,1,2,0,0,0,1,0,0
2008-W29,NA,NA,NA,0,0,0,1,2,0,0,0,1,0
2008-W30,NA,2.176237624,31/07/2008,0,0,0,0,1,2,0,0,0,1
2008-W31,NA,NA,NA,0,0,0,0,0,1,2,0,0,0
2008-W32,NA,NA,NA,0,0,0,0,0,0,1,2,0,0
2008-W33,NA,NA,NA,0,0,0,0,0,0,0,1,2,0
2008-W34,NA,NA,NA,0,0,0,0,0,0,0,0,1,2
2008-W35,NA,2.190944882,31/08/2008,0,0,0,0,0,0,0,0,0,1
2008-W36,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
