"household_questionnaire_id","time_to_irrigate_1_katha__p_1","district","year","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T302608032",30,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608033",20,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302609007",30,2,2018,60.0000023841858,NA,NA,36.0000014305115,NA,NA,NA,NA,NA,60.0000023841858,36.0000014305115,NA,96.0000038146973,"Control",0
"T302603034",30,2,2018,100,NA,NA,150,NA,NA,NA,NA,NA,100,150,NA,250,"Treatment",1
"T302602009",30,2,2018,60.0000023841858,NA,NA,144.000005722046,NA,NA,NA,NA,NA,60.0000023841858,144.000005722046,NA,204.000008106232,"Treatment",1
"T300608006",30,2,2018,30.0000011920929,15.0000005960464,NA,120.000004768372,30.0000011920929,NA,144.000005722046,NA,NA,45.0000017881393,150.000005960464,144.000005722046,339.00001347065,"Treatment",1
"T301808003",90,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T301805004",60,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309306011",30,2,2018,400,NA,NA,800,NA,NA,NA,NA,NA,400,800,NA,1200,"Control",0
"T309306012",30,2,2018,160,NA,NA,200,NA,NA,NA,NA,NA,160,200,NA,360,"Treatment",1
"T300608033",20,2,2018,NA,12.5,NA,400,12.5,NA,640,NA,NA,12.5,412.5,640,1065,"Treatment",1
"T303608010",30,2,2018,100,NA,NA,250,NA,NA,520,NA,NA,100,250,520,870,"Control",0
"T305404026",30,2,2018,NA,96.0000038146973,NA,NA,192.000007629395,NA,NA,96.0000038146973,NA,96.0000038146973,192.000007629395,96.0000038146973,384.000015258789,"Control",0
"T300901112",60,2,2018,200,NA,NA,100,NA,NA,NA,NA,NA,200,100,NA,300,"Control",0
"T300901113",60,2,2018,200,NA,NA,100,NA,NA,25,NA,NA,200,100,25,325,"Treatment",1
"T306004001",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T309708020",60,1,2019,NA,150,NA,NA,40,NA,NA,18,NA,150,40,18,208,"Treatment",1
"T300608033",60,2,2019,NA,1920,NA,NA,616,NA,NA,440,NA,1920,616,440,2976,"Treatment",1
"T302806050",60,1,2019,100,NA,NA,40,NA,NA,18,NA,NA,100,40,18,158,"Treatment",1
"T309306012",60,2,2019,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7,7,"Treatment",1
"T300508099",90,3,2019,NA,NA,NA,NA,7.5,NA,NA,20,NA,NA,7.5,20,27.5,"Treatment",1
"T305602003",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T300406135",60,1,2019,NA,49,NA,NA,24,NA,NA,14,NA,49,24,14,87,"Treatment",1
"T306102002",50,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T305607002",60,2,2019,NA,144,NA,NA,120,NA,NA,100,NA,144,120,100,364,"Treatment",1
"T308707002",60,2,2019,NA,144,NA,NA,144,NA,NA,100,NA,144,144,100,388,"Treatment",1
"T306102001",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T304802030",60,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T305519001",60,3,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T301911010",60,3,2019,NA,225,NA,NA,NA,NA,NA,225,NA,225,NA,225,450,"Treatment",1
"T300307001",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T302602009",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T304802122",60,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T308705001",60,2,2019,NA,200,200,NA,20,50,NA,150,150,400,70,300,770,"Treatment",1
"T305001120",60,1,2019,NA,300,75,NA,25,7.5,NA,225,50,375,32.5,275,682.5,"Treatment",1
"T303007001",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T305607005",160,2,2019,NA,NA,50,NA,NA,96,NA,NA,60,50,96,60,206,"Treatment",1
"T300608006",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T308703001",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T300901113",60,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T302603034",60,2,2019,NA,50,NA,NA,NA,NA,NA,21,NA,50,NA,21,71,"Treatment",1
"T305607004",90,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T304802123",60,1,2019,NA,NA,NA,NA,72,NA,NA,100,NA,NA,72,100,172,"Treatment",1
"T304905099",1,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608031",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T304901100",NA,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T307408001",60,3,2019,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,7,7,"Control",0
"T301503134",60,1,2019,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,10,10,"Control",0
"T309504024",60,2,2019,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,7.5,7.5,"Control",0
"T304308003",60,3,2019,NA,NA,NA,NA,NA,NA,54.0000021457672,NA,NA,NA,NA,54.0000021457672,54.0000021457672,"Control",0
"T301503081",60,1,2019,50,NA,NA,NA,NA,NA,25,NA,NA,50,NA,25,75,"Control",0
"T302608029",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309009013",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302608003",NA,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T302607029",60,2,2019,12.5,NA,NA,NA,NA,NA,5,NA,NA,12.5,NA,5,17.5,"Control",0
