"household_questionnaire_id","homestead_dwelling_area","land_for_cultivation","land_for_aquaculture_ponds","perm_fallow_land","orchard_land","total_property","land_owned_women","landarea_women","who_owns_it","since_when_month","since_when_year","reason_transfer","woman_homestead","woman_perm_fallow_land","woman_aquaculture_ponds","woman_orchard","woman_land_cultivation","how_many_agricultural_plots","plot_size_pl1_bore_a","plot_size_pl2_bore_b","plot_size_pl3_bore_c","type_pump_pl1_bore_a","type_pump_pl2_bore_b","type_pump_pl3_bore_c","pump_fixed_pl1_bore_a","pump_fixed_pl2_bore_b","pump_fixed_pl3_bore_c","cropecon_plot_pl1_bore_a","cropecon_plot_pl2_bore_b","cropecon_plot_pl3_bore_c","five_years_back_totalland","mode_of_pay_lease","if_fixed_leaserate_per_katha","if_share_of_produce_prop1","if_share_of_produce_prop2","district","year","TreatmentControl","TC"
"T301503071",0.699999988079071,65,0,0,15,80.6999969482422,1,NA,2,NA,NA,"RIGHTS AND LESS TAX",0.800000011920929,0,0,9,0,3,25,4,6,2,2,2,2,2,2,2,2,2,6,NA,NA,NA,0,1,2018,"Control",0
"T301502072",0.5,6,0,0,0,6.5,2,0,0,0,0,"",0,0,0,0,0,2,6,0,0,3,NA,NA,2,NA,NA,NA,NA,NA,0,NA,0,0,0,1,2018,"Control",0
"T303806076",1,20,0,0,0,21,2,0,1,NA,NA,"",0,0,0,0,0,0,8,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,30,NA,NA,0,0,1,2018,"Control",0
"T303806078",0.5,5,0,0,0,5.5,2,NA,1,NA,NA,"",0,0,0,0,0,0,5,0,0,0,NA,NA,2,NA,NA,2,NA,NA,2,2,0,50,50,1,2018,"Control",0
"T301502069",0.5,21.7000007629395,0,0,1,23.2000007629395,NA,NA,NA,NA,NA,"",0,0,0,0,0,NA,1,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,22.2000007629395,NA,NA,NA,0,1,2018,"Control",0
"T301502074",1.5,60,22,0,12,95.5,2,0,1,0,0,"",0,0,0,0,0,0,6,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,20,NA,NA,NA,0,1,2018,"Control",0
"T301503073",2,20,0,0,20,42,2,NA,2,NA,NA,"",0,0,0,0,0,0,20,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,42,NA,NA,NA,0,1,2018,"Control",0
"T307006094",2,100,0,10,0,112,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,30,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,212,NA,NA,NA,0,1,2018,"Control",0
"T307707110",1.60000002384186,5,0,3,0,9.60000038146973,1,3,3,2,2061,"RIGHTS AND LESS TAX",0.600000023841858,0,0,0,3.59999990463257,3,3,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,9.5,2,8350,0,0,1,2018,"Control",0
"T307103092",0.5,20,0,3,1,24.5,2,NA,NA,NA,NA,"",0,0,0,0,0,3,20,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,35.5,NA,NA,NA,0,1,2018,"Control",0
"T304905099",3,60,0,0,1.5,64.5,1,9,2,NA,NA,"",2.5,0,0,0,6.5,4,28,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,44.5,NA,NA,0,0,1,2018,"Control",0
"T308603106",2,70,5.5,0,2.5,80,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,50,12,NA,2,0,NA,2,2,NA,1,2,NA,80,NA,NA,NA,0,1,2018,"Control",0
"T300902111",4,28,0,2,2,36,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,25,15,NA,2,2,NA,1,2,NA,1,1,NA,36,2,0,0,0,1,2018,"Control",0
"T300509098",1,20,0,0,0,21,1,10,2,11,2054,"RIGHTS AND LESS TAX",0,0,0,0,10,6,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2000,0,0,1,2018,"Control",0
"T307001096",5.5,38,0,0,2,45.5,1,10,2,3,2049,"RIGHTS AND LESS TAX",0,0,0,0,10,5,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,45.5,NA,NA,0,0,1,2018,"Control",0
"T308601105",3.5,120,20.5,6.5,2,152.5,1,50,2,5,2068,"",3.5,1.5,20,2,24,11,62,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,152,NA,NA,0,0,1,2018,"Control",0
"T307005097",1.5,25,0,0,1,27.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,18,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,27.5,NA,NA,0,0,1,2018,"Control",0
"T301602107",0.400000005960464,40,0,0,0,40.4000015258789,1,5,2,11,2054,"LESS TAX",NA,NA,NA,NA,5,4,30,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,40.4000015258789,NA,NA,0,0,1,2018,"Control",0
"T301907112",2.29999995231628,6,0,0,0.5,8.80000019073486,1,2.29999995231628,2,NA,NA,"",2.29999995231628,0,NA,NA,NA,3,6,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,8.80000019073486,NA,NA,NA,0,1,2018,"Control",0
"T304901100",0.600000023841858,7,0,2,0,9.60000038146973,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9.60000038146973,NA,NA,NA,0,1,2018,"Control",0
"T304905101",3,30,0,0,0,33,1,5,2,NA,NA,"",0,0,0,0,5,4,10,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,22,NA,NA,NA,0,1,2018,"Control",0
"T304906102",0.5,8,0,5,0,13.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13.1999998092651,NA,NA,NA,0,1,2018,"Control",0
