"household_questionnaire_id","time_to_irrigate_1_katha__p_1","year","district","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T109201007",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109908003",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203900307",300,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T110503003",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T206702001",60,2019,"SAPTARI",24,NA,NA,NA,NA,NA,150,NA,NA,24,NA,150,174,"Control",NA
"T110507002",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109903002",30,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T106006002",120,2019,"SAPTARI",20,NA,NA,NA,NA,NA,12,NA,NA,20,NA,12,32,"Control",NA
"A104507035",30,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"E104705010",30,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"A110402001",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T210709003",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T210408001",150,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T109205004",240,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T102007001",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T210708002",180,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T210101002",180,2019,"SAPTARI",NA,120,NA,NA,200,NA,NA,128,NA,120,200,128,448,"Treatment",1
"T203908001",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T203901002",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T103204001",480,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T109902001",420,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T200103002",180,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T210904001",240,2019,"SAPTARI",NA,12,NA,NA,24,NA,NA,30,NA,12,24,30,66,"Treatment",1
"T110505001",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T109203001",180,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T205105003",300,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T106605002",160,2019,"SAPTARI",NA,8,NA,NA,16,NA,NA,6,NA,8,16,6,30,"Treatment",1
"T106604004",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
