"year","district","household_questionnaire_id","days_in_a_season_pump_use_s_p1","hours_per_day_use_s__p_1","days_in_a_season_pump_use_s_p2","hours_per_day_use_s__p_2","days_in_a_season_pump_use_s_p3","hours_per_day_use_s__p_3","days_in_a_season_pump_use_m_p1","hours_per_day_use_m__p_1","days_in_a_season_pump_use_m_p2","hours_per_day_use_m__p_2","days_in_a_season_pump_use_m_p3","hours_per_day_use_m__p_3","days_in_a_season_pump_use_w_p1","hours_per_day_use_w__p_1","days_in_a_season_pump_use_w_p2","hours_per_day_use_w__p_2","days_in_a_season_pump_use_w_p3","hours_per_day_use_w__p_3","TreatmentControl","TC","ps1","ps2","ps3","pm1","pm2","pm3","pw1","pw2","pw3","Summer_hr","Monsoon_hr","Winter_hr","Yearly_hr","p1_hr","p2_hr","p3_hr","days_monsoon","days_winter","days_summer","days_year","days_p1","days_p2","days_p3"
2018,"Saptari","T109203003",NA,NA,NA,NA,NA,NA,10,8,NA,NA,NA,NA,7,7,NA,NA,NA,NA,"Control",NA,NA,NA,NA,80,NA,NA,49,NA,NA,NA,80,49,129,129,NA,NA,10,7,NA,17,17,NA,NA
2018,"Saptari","T109202002",2,5,8,8,9,8,5,8,8,12,9,10,NA,NA,7,7,8,10,"Control",NA,10,64,72,40,96,90,NA,49,80,146,226,129,501,50,209,242,22,15,19,56,7,23,26
2018,"Saptari","T110505001",7,6,7,5,NA,NA,8,6,3,5,2,9,7,6,3,4,5,17,"Treatment",1,42,35,NA,48,15,18,42,12,85,77,81,139,297,132,62,103,13,15,14,42,22,13,7
2018,"Saptari","T109201006",5,10,NA,NA,NA,NA,18,17,NA,NA,NA,NA,10,15,NA,NA,NA,NA,"Control",NA,50,NA,NA,306,NA,NA,150,NA,NA,50,306,150,506,506,NA,NA,18,10,5,33,33,NA,NA
2018,"Saptari","T210405002",5,7,4,6,NA,NA,11,8,7,10,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,35,24,NA,88,70,NA,NA,NA,NA,59,158,NA,217,123,94,NA,18,NA,9,27,16,11,NA
2018,"Saptari","T210407003",20,9,NA,NA,NA,NA,30,12,NA,NA,NA,NA,10,15,NA,NA,NA,NA,"Control",NA,180,NA,NA,360,NA,NA,150,NA,NA,180,360,150,690,690,NA,NA,30,10,20,60,60,NA,NA
2018,"Saptari","T203907006",7,15,NA,NA,NA,NA,25,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,105,NA,NA,425,NA,NA,NA,NA,NA,105,425,NA,530,530,NA,NA,25,NA,7,32,32,NA,NA
2018,"Saptari","T203908005",3,5,3,10,NA,NA,5,8,3,12,NA,NA,4,5,5,10,NA,NA,"Control",NA,15,30,NA,40,36,NA,20,50,NA,45,76,70,191,75,116,NA,8,9,6,23,12,11,NA
2018,"Saptari","T203900307",5,18,NA,NA,NA,NA,20,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,90,NA,NA,340,NA,NA,NA,NA,NA,90,340,NA,430,430,NA,NA,20,NA,5,25,25,NA,NA
2018,"Saptari","T106604005",3,9,NA,NA,NA,NA,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,27,NA,NA,120,NA,NA,NA,NA,NA,27,120,NA,147,147,NA,NA,8,NA,3,11,11,NA,NA
2018,"Saptari","T203901004",7,8,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,56,NA,NA,100,NA,NA,NA,NA,NA,56,100,NA,156,156,NA,NA,10,NA,7,17,17,NA,NA
2018,"Saptari","T106604003",NA,NA,NA,NA,NA,NA,NA,NA,15,4,NA,NA,NA,NA,5,4,NA,NA,"Control",NA,NA,NA,NA,NA,60,NA,NA,20,NA,NA,60,20,80,NA,80,NA,15,5,NA,20,NA,20,NA
2018,"Saptari","T103207002",NA,NA,NA,NA,NA,NA,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,60,NA,60,60,NA,NA,15,NA,NA,15,15,NA,NA
2018,"Saptari","T104201002",NA,NA,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,40,NA,40,40,NA,NA,10,NA,NA,10,10,NA,NA
2018,"Saptari","T205104005",NA,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,45,NA,45,45,NA,NA,9,NA,NA,9,9,NA,NA
2018,"Saptari","C001410002",NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,35,NA,35,35,NA,NA,7,NA,NA,7,7,NA,NA
2018,"Saptari","T104209001",NA,NA,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,40,NA,40,40,NA,NA,10,NA,NA,10,10,NA,NA
2018,"Saptari","T205104006",NA,NA,NA,NA,NA,NA,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,80,NA,80,80,NA,NA,20,NA,NA,20,20,NA,NA
2018,"Saptari","T110503003",NA,NA,NA,NA,NA,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,60,NA,60,60,NA,NA,10,NA,NA,10,10,NA,NA
2018,"Saptari","T109203005",NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,28,NA,28,28,NA,NA,7,NA,NA,7,7,NA,NA
2018,"Saptari","T109202008",NA,NA,NA,NA,NA,NA,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,100,NA,100,100,NA,NA,20,NA,NA,20,20,NA,NA
2018,"Saptari","T210408001",NA,NA,NA,NA,NA,NA,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,10,8,NA,NA,NA,NA,NA,18,NA,18,10,8,NA,6,NA,NA,6,2,4,NA
2018,"Saptari","T106605002",NA,NA,NA,NA,NA,NA,10,5,NA,NA,15,5,NA,NA,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,50,NA,75,NA,NA,NA,NA,125,NA,125,50,NA,75,25,NA,NA,25,10,NA,15
2018,"Saptari","T203901002",10,4,NA,NA,NA,NA,15,5,25,8,NA,NA,12,4,30,8,NA,NA,"Treatment",1,40,NA,NA,75,200,NA,48,240,NA,40,275,288,603,163,440,NA,40,42,10,92,37,55,NA
2018,"Saptari","T109202009",NA,NA,NA,NA,NA,NA,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,70,NA,70,70,NA,NA,10,NA,NA,10,10,NA,NA
2018,"Saptari","T210706005",NA,NA,NA,NA,NA,NA,20,5,NA,NA,NA,NA,30,10,NA,NA,NA,NA,"Control",NA,NA,NA,NA,100,NA,NA,300,NA,NA,NA,100,300,400,400,NA,NA,20,30,NA,50,50,NA,NA
2018,"Saptari","T210709001",NA,NA,NA,NA,NA,NA,15,6,8,4,NA,NA,10,6,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,90,32,NA,60,NA,NA,NA,122,60,182,150,32,NA,23,10,NA,33,25,8,NA
2018,"Saptari","T203901008",NA,NA,NA,NA,NA,NA,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,80,NA,80,80,NA,NA,20,NA,NA,20,20,NA,NA
2018,"Saptari","T203908009",NA,NA,NA,NA,NA,NA,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,75,NA,75,75,NA,NA,15,NA,NA,15,15,NA,NA
2018,"Saptari","T210703006",NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,NA,1,NA,NA,1,1,NA,NA
2018,"Saptari","T108803015",7,10,NA,NA,NA,NA,10,6,NA,NA,NA,NA,5,2,NA,NA,NA,NA,"Control",NA,70,NA,NA,60,NA,NA,10,NA,NA,70,60,10,140,140,NA,NA,10,5,7,22,22,NA,NA
