"household_questionnaire_id","type_of_crop","name_of_crop","season_of_crop","when_is_crop_sowed","when_is_crop_harvested","cult_area_under_crop","most_imp_source","hrs_irr_1katha","no_of_irrigation_for_1_katha","what_was_your_total_harvest","unit_harvest","percent_for_selling","price_per_kg","year","district","TreatmentControl","TC","irri_for_season","name_of_crop_detail"
"C001401004",1,"Paddy","Monsoon",3,8,16,4,0,2,3.5,1,0,0,2017,"Saptari","Control",0,0,"PADDY"
"C001401004",2,"Wheat","Winter",9,12,10,4,0,2,1.5,1,0,0,2017,"Saptari","Control",0,0,"WHEAT"
"C001401004",42,"Oilseeds","Winter",9,12,3,0,0,0,20,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"C001401004",33,"Others","Winter",9,12,3,0,0,0,25,3,0,0,2017,"Saptari","Control",0,0,"OTHER"
"C001401004",27,"Pulses","Summer",12,3,10,1,0,0,30,3,60,90,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T104203004",1,"Paddy","Monsoon",3,8,40,4,0,3,3.5,1,25,18,2017,"Saptari","Control",0,0,"PADDY"
"T110502003",1,"Paddy","Monsoon",3,8,9,2,2,3,3.5,1,0,0,2017,"Saptari","Control",0,54,"PADDY"
"T110502003",2,"Wheat","Winter",9,12,5,2,2,2,1.5,1,0,0,2017,"Saptari","Control",0,20,"WHEAT"
"T110502003",47,"Vegetables","Winter",9,12,1,0,0,0,8,1,0,0,2017,"Saptari","Control",0,0,"POTATO"
"T110502003",42,"Oilseeds","Winter",9,12,1,0,0,0,20,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"T110502003",33,"Others","Winter",9,12,2,0,0,0,25,3,25,90,2017,"Saptari","Control",0,0,"OTHER"
"T110502003",27,"Pulses","Summer",12,3,7,1,0,0,20,3,50,93,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T210708002",1,"Paddy","Monsoon",3,8,60,2,1.5,3,4,1,50,16,2017,"Saptari","Treatment",1,270,"PADDY"
"T210708002",2,"Wheat","Winter",9,12,25,2,1.5,2,1.5,1,50,21,2017,"Saptari","Treatment",1,75,"WHEAT"
"T210708002",21,"Vegetables","Winter",9,12,5,0,0,0,25,3,50,95,2017,"Saptari","Treatment",1,0,"GREEN PEA"
"T210708002",22,"Pulses","Winter",9,12,10,0,0,0,20,3,50,80,2017,"Saptari","Treatment",1,0,"GRASS PEA"
"T210708002",43,"Oilseeds","Winter",9,12,10,0,0,0,30,3,50,100,2017,"Saptari","Treatment",1,0,"MUSTARD"
"T210708002",33,"Pulses","Winter",9,12,10,0,0,0,25,3,50,90,2017,"Saptari","Treatment",1,0,"OTHER PULSES"
"T210708002",1,"Paddy","Summer",12,3,15,2,1.5,10,3,1,60,12,2017,"Saptari","Treatment",1,225,"PADDY"
"T203908001",1,"Paddy","Monsoon",3,8,25,2,2,3,3,1,50,14,2017,"Saptari","Treatment",1,150,"PADDY"
"T203908001",2,"Wheat","Winter",9,12,10,2,2,2,1.5,1,60,21,2017,"Saptari","Treatment",1,40,"WHEAT"
"T203908001",21,"Vegetables","Winter",9,12,5,0,0,0,30,3,70,90,2017,"Saptari","Treatment",1,0,"GREEN PEA"
"T203908001",43,"Oilseeds","Winter",9,12,7,0,0,0,20,3,50,100,2017,"Saptari","Treatment",1,0,"MUSTARD"
"T203908001",33,"Pulses","Winter",9,12,3,0,0,0,22,3,60,95,2017,"Saptari","Treatment",1,0,"OTHER PULSES"
"T203908001",1,"Paddy","Summer",12,3,10,2,2,10,2.5,1,60,12,2017,"Saptari","Treatment",1,200,"PADDY"
"T203903003",1,"Paddy","Monsoon",3,8,30,2,1.5,2,4,1,40,14,2017,"Saptari","Control",0,90,"PADDY"
"T203903003",2,"Wheat","Winter",9,12,30,2,1.5,2,1.5,1,50,19,2017,"Saptari","Control",0,90,"WHEAT"
"T203903003",1,"Paddy","Summer",12,3,10,2,1.5,7,2.5,1,60,10,2017,"Saptari","Control",0,105,"PADDY"
"T203903003",27,"Pulses","Summer",12,3,10,0,0,0,25,3,50,95,2017,"Saptari","Control",0,0,"GREEN GRAM"
"T206702001",1,"Paddy","Monsoon",3,8,80,1,0,0,3,1,70,14,2017,"Saptari","Control",0,0,"PADDY"
